I (704391) clare_net: recv kind=0 type=transcript len=97
I (704985) clare_net: recv kind=0 type=transcript len=97
I (704987) clare_net: recv kind=0 type=transcript len=97
I (704989) clare_net: recv kind=0 type=transcript len=97
I (704991) clare_net: recv kind=0 type=transcript len=97
I (704993) clare_net: recv kind=0 type=transcript len=97
I (705166) clare_net: recv kind=0 type=transcript len=99
I (716474) clare_net: recv kind=0 type=transcript len=81
I (718672) clare_net: recv kind=0 type=transcript len=82
I (719057) clare_net: recv kind=0 type=transcript len=82
I (719084) clare_net: recv kind=0 type=transcript len=82
I (720178) clare_net: WS pre-start heap free8=5858111 largest8=5767168
I (720179) websocket_client: Started
I (720518) clare_net: recv kind=0 type=transcript len=82
I (720520) clare_net: recv kind=0 type=transcript len=94
I (720522) clare_net: recv kind=0 type=transcript len=94
I (720524) clare_net: recv kind=0 type=transcript len=94
I (720759) clare_net: recv kind=0 type=transcript len=100
I (720761) clare_net: recv kind=0 type=transcript len=100
I (720763) clare_net: recv kind=0 type=transcript len=100
I (720765) clare_net: recv kind=0 type=transcript len=103
I (720767) clare_net: recv kind=0 type=transcript len=103
I (720769) clare_net: recv kind=0 type=transcript len=103
I (720771) clare_net: recv kind=0 type=transcript len=109
I (720773) clare_net: recv kind=0 type=transcript len=109
I (720775) clare_net: recv kind=0 type=transcript len=109
I (720822) clare_net: recv kind=0 type=transcript len=115
I (720847) clare_net: recv kind=0 type=transcript len=115
I (720871) clare_net: recv kind=0 type=transcript len=115
I (720959) clare_net: recv kind=0 type=transcript len=115
I (721207) clare_net: recv kind=0 type=transcript len=124
I (721239) clare_net: recv kind=0 type=transcript len=124
I (721271) clare_net: recv kind=0 type=transcript len=124
I (722420) clare_net: WebSocket connected kind=1
I (722420) clare_s3: Ask Clare a question
I (722420) clare_s3: Ask Clare a question
I (722817) clare_net: recv kind=0 type=transcript len=130
I (722819) clare_net: recv kind=0 type=transcript len=130
I (722821) clare_net: recv kind=0 type=transcript len=130
I (722823) clare_net: recv kind=0 type=transcript len=130
I (722825) clare_net: recv kind=0 type=transcript len=130
I (722827) clare_net: recv kind=0 type=transcript len=130
I (722829) clare_net: recv kind=0 type=transcript len=130
I (722831) clare_net: recv kind=0 type=transcript len=130
I (722833) clare_net: recv kind=0 type=transcript len=130
I (722993) clare_net: recv kind=0 type=transcript len=130
I (722995) clare_net: recv kind=0 type=transcript len=132
I (730609) clare_s3: Clare is answering...
I (731681) clare_s3: Network error - check Wi-Fi/API
I (735308) clare_net: recv kind=0 type=transcript len=79
I (735405) clare_net: recv kind=0 type=transcript len=79
I (736131) clare_net: recv kind=0 type=transcript len=79
I (736135) clare_net: recv kind=0 type=transcript len=82
I (736136) clare_net: recv kind=0 type=transcript len=82
I (736138) clare_net: recv kind=0 type=transcript len=82
I (736140) clare_net: recv kind=0 type=transcript len=84
I (736756) clare_s3: Network error - check Wi-Fi/API
I (736756) clare_s3: Network error - check Wi-Fi/API
I (736758) clare_s3: Network error - check Wi-Fi/API
I (736760) clare_s3: Network error - check Wi-Fi/API
I (736762) clare_s3: Network error - check Wi-Fi/API
I (736764) clare_s3: Network error - check Wi-Fi/API
I (736787) clare_s3: Network error - check Wi-Fi/API
I (737783) clare_s3: Network error - check Wi-Fi/API
I (737785) clare_s3: Network error - check Wi-Fi/API
I (737787) clare_s3: Network error - check Wi-Fi/API
I (737789) clare_s3: Network error - check Wi-Fi/API
I (737791) clare_s3: Network error - check Wi-Fi/API
I (737793) clare_s3: Network error - check Wi-Fi/API
